app,test_name,seq_len,num_seq,repeat,cpg,pod_unique_data,speed,kernel_time_sec,gcups,arith_intensity_ops_per_byte,ops_per_elem,n_elems,achieved_bw_GB_s,achieved_gops_s
dummy/roofline,ops_12288__n-elems_4194304__repeat_9,,,9,8,0,slow,45.37818,N/A,3072.0000,12288,4194304,0.0224,72.5312
dummy/roofline,ops_16384__n-elems_4194304__repeat_7,,,7,8,0,slow,60.50425,N/A,4096.0000,16384,4194304,0.0192,72.5696
dummy/roofline,ops_8192__n-elems_4194304__repeat_12,,,12,8,0,slow,30.253921,N/A,2048.0000,8192,4194304,0.0352,72.4448
