app,test_name,seq_len,num_seq,repeat,cpg,pod_unique_data,speed,kernel_time_sec,gcups,arith_intensity_ops_per_byte,ops_per_elem,n_elems,achieved_bw_GB_s,achieved_gops_s
sw/1d,seq-len_1024__num-seq_1024__repeat_64,1024,1024,3,8,0,slow,25.888727806,0.1244,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1024__repeat_64__cpg_128,1024,1024,3,128,0,slow,29.958492318,0.1075,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1024__repeat_64__cpg_16,1024,1024,3,16,0,slow,26.249647149,0.1227,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1024__repeat_64__cpg_4,1024,1024,3,4,0,slow,25.698004144,0.1253,2560.0,,,,
sw/1d,seq-len_128__num-seq_8192__repeat_512,128,8192,25,8,0,slow,29.046784261,0.1155,320.0,,,,
sw/1d,seq-len_128__num-seq_8192__repeat_512__cpg_1,128,8192,25,1,0,slow,26.401691341,0.1271,320.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32,2048,512,1,8,0,slow,17.185659414,0.1250,5120.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32__cpg_128,2048,512,1,128,0,slow,18.465489634,0.1163,5120.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32__cpg_16,2048,512,1,16,0,slow,17.301475616,0.1241,5120.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32__cpg_8,2048,512,1,8,0,slow,17.183679593,0.1250,5120.0,,,,
sw/1d,seq-len_256__num-seq_4096__repeat_256,256,4096,12,8,0,slow,26.971620769,0.1194,640.0,,,,
sw/1d,seq-len_256__num-seq_4096__repeat_256__cpg_1,256,4096,12,1,0,slow,25.175982252,0.1279,640.0,,,,
sw/1d,seq-len_256__num-seq_4096__repeat_256__cpg_128,256,4096,12,128,0,slow,43.797154155,0.0735,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048,256,512,102,8,0,slow,28.657317866,0.1194,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_1,256,512,102,1,0,slow,26.733504309,0.1280,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_128,256,512,102,128,0,slow,46.033207271,0.0743,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_128__pod-unique-data_1,256,512,102,128,1,slow,46.030288159,0.0744,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_16,256,512,102,16,0,slow,29.352017877,0.1166,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_1__pod-unique-data_1,256,512,102,1,1,slow,26.744544623,0.1280,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__pod-unique-data_1,256,512,102,8,1,slow,28.658909168,0.1194,640.0,,,,
sw/1d,seq-len_32__num-seq_32768__repeat_2048,32,32768,102,8,0,slow,39.868394191,0.0858,80.0,,,,
sw/1d,seq-len_32__num-seq_32768__repeat_2048__cpg_1,32,32768,102,1,0,slow,27.930066368,0.1225,80.0,,,,
sw/1d,seq-len_32__num-seq_32768__repeat_2048__cpg_16,32,32768,102,16,0,slow,48.263945051,0.0709,80.0,,,,
sw/1d,seq-len_512__num-seq_2048__repeat_128__cpg_128,512,2048,6,128,0,slow,36.112673234,0.0892,1280.0,,,,
sw/1d,seq-len_512__num-seq_2048__repeat_128__cpg_16,512,2048,6,16,0,slow,26.972659261,0.1194,1280.0,,,,
sw/1d,seq-len_64__num-seq_16384__repeat_1024,64,16384,51,8,0,slow,31.985945281,0.1070,160.0,,,,
sw/1d,seq-len_64__num-seq_16384__repeat_1024__cpg_1,64,16384,51,1,0,slow,27.237447223,0.1257,160.0,,,,
sw/1d,seq-len_64__num-seq_16384__repeat_1024__cpg_16,64,16384,51,16,0,slow,39.109404774,0.0875,160.0,,,,
sw/2d,seq-len_128__num-seq_1024__repeat_4096,128,1024,204,8,0,slow,28.991607422,0.1181,320.0,,,,
sw/2d,seq-len_128__num-seq_1024__repeat_4096__pod-unique-data_1,128,1024,204,8,1,slow,28.991711447,0.1181,320.0,,,,
sw/2d,seq-len_128__num-seq_8192__repeat_512,128,8192,25,8,0,slow,28.768642914,0.1166,320.0,,,,
sw/2d,seq-len_192__num-seq_4096__repeat_512,192,4096,25,8,0,slow,31.188978108,0.1210,480.0,,,,
sw/2d,seq-len_192__num-seq_640__repeat_4096,192,640,204,8,0,slow,39.402886606,0.1221,480.0,,,,
sw/2d,seq-len_192__num-seq_640__repeat_4096__pod-unique-data_1,192,640,204,8,1,slow,39.410854981,0.1221,480.0,,,,
sw/2d,seq-len_32__num-seq_32768__repeat_512,32,32768,25,8,0,slow,12.348190836,0.0679,80.0,,,,
sw/2d,seq-len_64__num-seq_16384__repeat_512,64,16384,25,8,0,slow,17.345515514,0.0967,160.0,,,,
dummy/roofline,ops_1024__n-elems_4194304__repeat_66,,,3,8,0,slow,18.071479509,N/A,256.0000,1024,4194304,0.0056,1.4260
dummy/roofline,ops_12288__n-elems_4194304__repeat_9,,,1,8,0,slow,70.089019368,N/A,3072.0000,12288,4194304,0.0005,1.4707
dummy/roofline,ops_128__n-elems_4194304__repeat_128,,,6,8,0,slow,5.135537765,N/A,32.0000,128,4194304,0.0392,1.2545
